id,pass
1,Onyx13Viper
2,Rift41Rogue
3,Phantom23Storm
4,Emerald79Rift
5,Knight64Crown
6,Falcon21Shadow
7,Crimson74Phantom
8,Ghost81Shadow
9,Silver93Zenith
10,Apex63Archer
11,Phantom85Cobra
12,Rogue10Rune
13,Haven30Rune
14,Apex53Vortex
15,Rogue37Frost
16,Haven23Iron
17,Knight22Abyss
18,Silent54Oracle
19,Ghost15Solar
20,Spire78Phoenix
21,Viper20Abyss
22,Shield90Titan
23,Nebula56Valiant
24,Blade18Silver
25,Falcon39Sapphire
26,Dusk20Titan
27,Oracle22Phantom
28,Abyss68Rogue
29,Onyx56Gorgon
30,Thunder55Golden
31,Crimson44Sapphire
32,Apex92Emerald
33,Crystal91Ghost
34,Thunder41Archer
35,Thunder58Phoenix
36,Rogue98Onyx
37,Shield97Phantom
38,Cosmic17Gorgon
39,Phantom14Glyph
40,Rune61Cosmic
41,Rogue37Crystal
42,Blade50Zenith
43,Crimson73Ruby
44,Chaos68Ruby
45,Frost27Solar
46,Lunar81Rift
47,Archer84Solar
48,Vortex61Crown
49,Golden27Phantom
50,Breeze21Hunter
51,Haven24Mystic
52,Frost30Onyx
53,Dawn64Emerald
54,Ghost59Crystal
55,Abyss69Ghost
56,Warlock80Solar
57,Valiant97Dragon
58,Spire97Viper
59,Archer44Haven
60,Dusk53Ruby
